Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Publication City/Country,Dimensions,Language,ISBN10,ISBN13
An Introduction to Statistical Learning : with Applications in R,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani","NT$2,009",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4614/9781461471370.jpg,4.61,426 pages,"
                                Hardback
                                    | 426 pages

",01 Sep 2017,"


                                        Springer-Verlag New York Inc.

","
                                New York, NY, United States","
                                155
                                    x 235
                                    x 25.4mm
                                
                                    | 1,014g
                                ","
                                English",1461471370,9781461471370
"The Elements of Statistical Learning : Data Mining, Inference, and Prediction, Second Edition","Trevor Hastie, Robert Tibshirani, Jerome Friedman","NT$2,357",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3878/9780387848570.jpg,4.4,745 pages,"
                                Hardback
                                    | 745 pages

",09 Feb 2009,"


                                        Springer-Verlag New York Inc.

","
                                New York, NY, United States","
                                155
                                    x 235
                                    x 35.56mm
                                
                                    | 1,179.34g
                                ","
                                English",0387848576,9780387848570
Pattern Recognition and Machine Learning,Christopher M. Bishop,"NT$3,038",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3873/9780387310732.jpg,4.3,738 pages,"
                                Hardback
                                    | 738 pages

",06 Apr 2011,"


                                        Springer-Verlag New York Inc.

","
                                New York, NY, United States","
                                178
                                    x 254
                                    x 34.29mm
                                
                                    | 2,147g
                                ","
                                English",0387310738,9780387310732
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville","NT$2,418",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262035613.jpg,4.44,800 pages,"
                                Hardback
                                    | 800 pages

",18 Apr 2017,"


                                        MIT Press Ltd

","
                                Cambridge, United States","
                                178
                                    x 229
                                    x 32mm
                                
                                    | 1,270.06g
                                ","
                                English",0262035618,9780262035613
Advances in Financial Machine Learning,Marcos Lopez de Prado,"NT$1,040",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1194/9781119482086.jpg,4.21,400 pages,"
                                Hardback
                                    | 400 pages

",21 Feb 2018,"


                                        John Wiley & Sons Inc

","
                                New York, United States","
                                155
                                    x 238
                                    x 25mm
                                
                                    | 726g
                                ","
                                English",1119482089,9781119482086
Understanding Machine Learning : From Theory to Algorithms,"Shai Shalev-Shwartz, Shai Ben-David","NT$1,824",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1070/9781107057135.jpg,4.29,410 pages,"
                                Hardback
                                    | 410 pages

",06 Mar 2019,"


                                        CAMBRIDGE UNIVERSITY PRESS

","
                                Cambridge, United Kingdom","
                                183
                                    x 260
                                    x 28mm
                                
                                    | 910g
                                ","
                                English",1107057132,9781107057135
Reinforcement Learning : An Introduction,"Richard S. Sutton, Andrew G. Barto","NT$2,161",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262039246.jpg,4.51,552 pages,"
                                Hardback
                                    | 552 pages

",13 Nov 2018,"


                                        MIT Press Ltd

","
                                Cambridge, United States","
                                178
                                    x 229
                                    x 38mm
                                
                                    | 1,179.34g
                                ","
                                English",0262039249,9780262039246
The Hundred-Page Machine Learning Book,Andriy Burkov,"NT$1,591",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9995/9781999579517.jpg,4.35,160 pages,"
                                Hardback
                                    | 160 pages

",11 Jan 2019,"


                                        Andriy Burkov

",,"
                                191
                                    x 235
                                    x 14mm
                                
                                    | 590g
                                ","
                                English",1999579518,9781999579517
Bayesian Reasoning and Machine Learning,David Barber,"NT$2,490",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5215/9780521518147.jpg,4.1,735 pages,"
                                Hardback
                                    | 735 pages

",01 Apr 2012,"


                                        CAMBRIDGE UNIVERSITY PRESS

","
                                Cambridge, United Kingdom","
                                193
                                    x 251
                                    x 37mm
                                
                                    | 1,710g
                                ","
                                English",0521518148,9780521518147
Gaussian Processes for Machine Learning,"Carl Edward Rasmussen, Christopher K. I. Williams","NT$1,410",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2621/9780262182539.jpg,4.27,272 pages,"
                                Hardback
                                    | 272 pages

",01 Dec 2005,"


                                        MIT Press Ltd

","
                                Cambridge, United States","
                                203
                                    x 254
                                    x 25mm
                                
                                    | 726g
                                ","
                                English",026218253X,9780262182539
"Fundamentals of Machine Learning for Predictive Data Analytics : Algorithms, Worked Examples, and Case Studies","John D. Kelleher, Brian MAC Namee, Aoife D'arcy","NT$2,367",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262029445.jpg,4.39,624 pages,"
                                Hardback
                                    | 624 pages

",19 Dec 2019,"


                                        MIT Press Ltd

","
                                Cambridge, United States","
                                178
                                    x 229
                                    x 29mm
                                
                                    | 1,020.58g
                                ","
                                English",0262029448,9780262029445
Machine Learning in Finance : From Theory to Practice,"Matthew F. Dixon, Igor Halperin, Paul Bilokon","NT$2,518",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030410674.jpg,3.25,548 pages,"
                                Hardback
                                    | 548 pages

",02 Jul 2020,"


                                        Springer Nature Switzerland AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 31.75mm
                                
                                    | 1,021g
                                ","
                                English",3030410676,9783030410674
Introduction to Machine Learning,Ethem Alpaydin,"NT$1,958",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262043793.jpg,3.71,712 pages,"
                                Hardback
                                    | 712 pages

",24 Mar 2020,"


                                        MIT Press Ltd

","
                                Cambridge, United States","
                                203
                                    x 229
                                    x 37mm
                                
                                    | 1,451.5g
                                ","
                                English",0262043793,9780262043793
"Machine Learning : An Algorithmic Perspective, Second Edition",Stephen Marsland,"NT$2,714",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4665/9781466583283.jpg,3.94,457 pages,"
                                Hardback
                                    | 457 pages

",17 Nov 2014,"


                                        Taylor & Francis Inc

","
                                Bosa Roca, United States","
                                178
                                    x 254
                                    x 25.4mm
                                
                                    | 998g
                                ","
                                English",1466583282,9781466583283
Linear Algebra and Optimization for Machine Learning : A Textbook,Charu C. Aggarwal,"NT$1,920",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030403430.jpg,5,495 pages,"
                                Hardback
                                    | 495 pages

",13 May 2020,"


                                        Springer Nature Switzerland AG

","
                                Cham, Switzerland","
                                178
                                    x 254
                                    x 28.7mm
                                
                                    | 1,184g
                                ","
                                English",3030403432,9783030403430
"Statistical and Machine-Learning Data Mining: : Techniques for Better Predictive Modeling and Analysis of Big Data, Third Edition",Bruce Ratner,"NT$2,562",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498797603.jpg,,690 pages,"
                                Hardback
                                    | 690 pages

",01 Jun 2017,"


                                        Taylor & Francis Inc

","
                                Portland, United States","
                                178
                                    x 254
                                    x 43.18mm
                                
                                    | 1,406g
                                ","
                                English",1498797601,9781498797603
Data Science and Machine Learning : Mathematical and Statistical Methods,"Dirk P. Kroese, Zdravko Botev, Thomas Taimre, Radislav Vaisman","NT$2,885",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1384/9781138492530.jpg,,510 pages,"
                                Hardback
                                    | 510 pages

",22 Nov 2019,"


                                        Taylor & Francis Ltd

","
                                London, United Kingdom","
                                216
                                    x 279
                                    x 31.75mm
                                
                                    | 966g
                                ","
                                English",1138492531,9781138492530
Foundations of Machine Learning,"Mehryar Mohri, Afshin Rostamizadeh, Ameet Talwalkar","NT$2,294",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262039406.jpg,4.14,504 pages,"
                                Hardback
                                    | 504 pages

",25 Dec 2018,"


                                        MIT Press Ltd

","
                                Cambridge, United States","
                                178
                                    x 229
                                    x 32mm
                                
                                    | 1,270.06g
                                ","
                                English",0262039400,9780262039406
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",Matt Taddy,NT$977,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2604/9781260452778.jpg,4.29,352 pages,"
                                Hardback
                                    | 352 pages

",21 Aug 2019,"


                                        McGraw-Hill Education

","
                                OH, United States","
                                193
                                    x 244
                                    x 31mm
                                
                                    | 733g
                                ","
                                English",1260452778,9781260452778
Machine Learning Engineering,Andriy Burkov,"NT$1,590",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7770/9781777005467.jpg,4.2,310 pages,"
                                Hardback
                                    | 310 pages

",08 Sep 2020,"


                                        True Positive Inc.

",,"
                                191
                                    x 235
                                    x 25mm
                                
                                    | 934g
                                ","
                                English",1777005469,9781777005467
Fundamentals of Machine Learning for Predictive Data Analytics,John D. Kelleher,"NT$2,378",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262044691.jpg,4.39,856 pages,"
                                Hardback
                                    | 856 pages

",20 Oct 2020,"


                                        MIT Press Ltd

","
                                United States","
                                178
                                    x 229
                                    x 38.1mm
                                
                                    | 1,723.65g
                                ","
                                English",0262044692,9780262044691
Statistical Learning with Sparsity : The Lasso and Generalizations,"Trevor Hastie, Robert Tibshirani, Martin Wainwright","NT$3,221",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498712163.jpg,4.08,367 pages,"
                                Hardback
                                    | 367 pages

",21 Aug 2015,"


                                        Taylor & Francis Inc

","
                                Portland, United States","
                                156
                                    x 235
                                    x 22.86mm
                                
                                    | 816g
                                ","
                                English",1498712169,9781498712163
Big Data and Machine Learning in Quantitative Investment,Tony Guida,"NT$1,449",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1195/9781119522195.jpg,4.45,296 pages,"
                                Hardback
                                    | 296 pages

",02 Apr 2019,"


                                        John Wiley & Sons Inc

","
                                New York, United States","
                                170
                                    x 250
                                    x 22mm
                                
                                    | 660g
                                ","
                                English",1119522196,9781119522195
