Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
An Introduction to Statistical Learning : with Applications in R,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani",2009.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4614/9781461471370.jpg,4.61,426.0,Hardback,2017-09-01,Springer-Verlag New York Inc.,English,1461471370,9781461471370,"New York, NY",United States,155.0,235.0,25.4,1014.0
"The Elements of Statistical Learning : Data Mining, Inference, and Prediction, Second Edition","Trevor Hastie, Robert Tibshirani, Jerome Friedman",2357.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3878/9780387848570.jpg,4.4,745.0,Hardback,2009-02-09,Springer-Verlag New York Inc.,English,0387848576,9780387848570,"New York, NY",United States,155.0,235.0,35.56,1179.34
Pattern Recognition and Machine Learning,Christopher M. Bishop,3038.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3873/9780387310732.jpg,4.3,738.0,Hardback,2011-04-06,Springer-Verlag New York Inc.,English,0387310738,9780387310732,"New York, NY",United States,178.0,254.0,34.29,2147.0
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",2418.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262035613.jpg,4.44,800.0,Hardback,2017-04-18,MIT Press Ltd,English,0262035618,9780262035613,Cambridge,United States,178.0,229.0,32.0,1270.06
Advances in Financial Machine Learning,Marcos Lopez de Prado,1040.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1194/9781119482086.jpg,4.21,400.0,Hardback,2018-02-21,John Wiley & Sons Inc,English,1119482089,9781119482086,New York,United States,155.0,238.0,25.0,726.0
Understanding Machine Learning : From Theory to Algorithms,"Shai Shalev-Shwartz, Shai Ben-David",1824.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1070/9781107057135.jpg,4.29,410.0,Hardback,2019-03-06,CAMBRIDGE UNIVERSITY PRESS,English,1107057132,9781107057135,Cambridge,United Kingdom,183.0,260.0,28.0,910.0
Reinforcement Learning : An Introduction,"Richard S. Sutton, Andrew G. Barto",2161.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262039246.jpg,4.51,552.0,Hardback,2018-11-13,MIT Press Ltd,English,0262039249,9780262039246,Cambridge,United States,178.0,229.0,38.0,1179.34
The Hundred-Page Machine Learning Book,Andriy Burkov,1591.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9995/9781999579517.jpg,4.35,160.0,Hardback,2019-01-11,Andriy Burkov,English,1999579518,9781999579517,,,191.0,235.0,14.0,590.0
Bayesian Reasoning and Machine Learning,David Barber,2490.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5215/9780521518147.jpg,4.1,735.0,Hardback,2012-04-01,CAMBRIDGE UNIVERSITY PRESS,English,0521518148,9780521518147,Cambridge,United Kingdom,193.0,251.0,37.0,1710.0
Gaussian Processes for Machine Learning,"Carl Edward Rasmussen, Christopher K. I. Williams",1410.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2621/9780262182539.jpg,4.27,272.0,Hardback,2005-12-01,MIT Press Ltd,English,026218253X,9780262182539,Cambridge,United States,203.0,254.0,25.0,726.0
"Fundamentals of Machine Learning for Predictive Data Analytics : Algorithms, Worked Examples, and Case Studies","John D. Kelleher, Brian MAC Namee, Aoife D'arcy",2367.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262029445.jpg,4.39,624.0,Hardback,2019-12-19,MIT Press Ltd,English,0262029448,9780262029445,Cambridge,United States,178.0,229.0,29.0,1020.58
Machine Learning in Finance : From Theory to Practice,"Matthew F. Dixon, Igor Halperin, Paul Bilokon",2518.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030410674.jpg,3.25,548.0,Hardback,2020-07-02,Springer Nature Switzerland AG,English,3030410676,9783030410674,Cham,Switzerland,155.0,235.0,31.75,1021.0
Introduction to Machine Learning,Ethem Alpaydin,1958.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262043793.jpg,3.71,712.0,Hardback,2020-03-24,MIT Press Ltd,English,0262043793,9780262043793,Cambridge,United States,203.0,229.0,37.0,1451.5
"Machine Learning : An Algorithmic Perspective, Second Edition",Stephen Marsland,2714.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4665/9781466583283.jpg,3.94,457.0,Hardback,2014-11-17,Taylor & Francis Inc,English,1466583282,9781466583283,Bosa Roca,United States,178.0,254.0,25.4,998.0
Linear Algebra and Optimization for Machine Learning : A Textbook,Charu C. Aggarwal,1920.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030403430.jpg,5.0,495.0,Hardback,2020-05-13,Springer Nature Switzerland AG,English,3030403432,9783030403430,Cham,Switzerland,178.0,254.0,28.7,1184.0
"Statistical and Machine-Learning Data Mining: : Techniques for Better Predictive Modeling and Analysis of Big Data, Third Edition",Bruce Ratner,2562.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498797603.jpg,,690.0,Hardback,2017-06-01,Taylor & Francis Inc,English,1498797601,9781498797603,Portland,United States,178.0,254.0,43.18,1406.0
Data Science and Machine Learning : Mathematical and Statistical Methods,"Dirk P. Kroese, Zdravko Botev, Thomas Taimre, Radislav Vaisman",2885.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1384/9781138492530.jpg,,510.0,Hardback,2019-11-22,Taylor & Francis Ltd,English,1138492531,9781138492530,London,United Kingdom,216.0,279.0,31.75,966.0
