Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
An Introduction to Statistical Learning : with Applications in R,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani",2009.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4614/9781461471370.jpg,4.61,426.0,Hardback,2017-09-01,Springer,English,1461471370,9781461471370,"New York, NY",United States,155.0,235.0,25.4,1014.0
"The Elements of Statistical Learning : Data Mining, Inference, and Prediction, Second Edition","Trevor Hastie, Robert Tibshirani, Jerome Friedman",2357.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3878/9780387848570.jpg,4.4,745.0,Hardback,2009-02-09,Springer,English,0387848576,9780387848570,"New York, NY",United States,155.0,235.0,35.56,1179.34
Pattern Recognition and Machine Learning,Christopher M. Bishop,3038.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3873/9780387310732.jpg,4.3,738.0,Hardback,2011-04-06,Springer,English,0387310738,9780387310732,"New York, NY",United States,178.0,254.0,34.29,2147.0
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",2418.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262035613.jpg,4.44,800.0,Hardback,2017-04-18,MIT Press Ltd,English,0262035618,9780262035613,Cambridge,United States,178.0,229.0,32.0,1270.06
Advances in Financial Machine Learning,Marcos Lopez de Prado,1040.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1194/9781119482086.jpg,4.21,400.0,Hardback,2018-02-21,Wiley,English,1119482089,9781119482086,New York,United States,155.0,238.0,25.0,726.0
Understanding Machine Learning : From Theory to Algorithms,"Shai Shalev-Shwartz, Shai Ben-David",1824.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1070/9781107057135.jpg,4.29,410.0,Hardback,2019-03-06,CAMBRIDGE UNIVERSITY PRESS,English,1107057132,9781107057135,Cambridge,United Kingdom,183.0,260.0,28.0,910.0
Reinforcement Learning : An Introduction,"Richard S. Sutton, Andrew G. Barto",2161.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262039246.jpg,4.51,552.0,Hardback,2018-11-13,MIT Press Ltd,English,0262039249,9780262039246,Cambridge,United States,178.0,229.0,38.0,1179.34
The Hundred-Page Machine Learning Book,Andriy Burkov,1591.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9995/9781999579517.jpg,4.35,160.0,Hardback,2019-01-11,Andriy Burkov,English,1999579518,9781999579517,,,191.0,235.0,14.0,590.0
Bayesian Reasoning and Machine Learning,David Barber,2490.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5215/9780521518147.jpg,4.1,735.0,Hardback,2012-04-01,CAMBRIDGE UNIVERSITY PRESS,English,0521518148,9780521518147,Cambridge,United Kingdom,193.0,251.0,37.0,1710.0
Gaussian Processes for Machine Learning,"Carl Edward Rasmussen, Christopher K. I. Williams",1410.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2621/9780262182539.jpg,4.27,272.0,Hardback,2005-12-01,MIT Press Ltd,English,026218253X,9780262182539,Cambridge,United States,203.0,254.0,25.0,726.0
"Fundamentals of Machine Learning for Predictive Data Analytics : Algorithms, Worked Examples, and Case Studies","John D. Kelleher, Brian MAC Namee, Aoife D'arcy",2367.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262029445.jpg,4.39,624.0,Hardback,2019-12-19,MIT Press Ltd,English,0262029448,9780262029445,Cambridge,United States,178.0,229.0,29.0,1020.58
Machine Learning in Finance : From Theory to Practice,"Matthew F. Dixon, Igor Halperin, Paul Bilokon",2518.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030410674.jpg,3.25,548.0,Hardback,2020-07-02,Springer,English,3030410676,9783030410674,Cham,Switzerland,155.0,235.0,31.75,1021.0
Introduction to Machine Learning,Ethem Alpaydin,1958.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262043793.jpg,3.71,712.0,Hardback,2020-03-24,MIT Press Ltd,English,0262043793,9780262043793,Cambridge,United States,203.0,229.0,37.0,1451.5
"Machine Learning : An Algorithmic Perspective, Second Edition",Stephen Marsland,2714.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4665/9781466583283.jpg,3.94,457.0,Hardback,2014-11-17,Taylor & Francis,English,1466583282,9781466583283,Bosa Roca,United States,178.0,254.0,25.4,998.0
Linear Algebra and Optimization for Machine Learning : A Textbook,Charu C. Aggarwal,1920.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030403430.jpg,5.0,495.0,Hardback,2020-05-13,Springer,English,3030403432,9783030403430,Cham,Switzerland,178.0,254.0,28.7,1184.0
"Statistical and Machine-Learning Data Mining: : Techniques for Better Predictive Modeling and Analysis of Big Data, Third Edition",Bruce Ratner,2562.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498797603.jpg,,690.0,Hardback,2017-06-01,Taylor & Francis,English,1498797601,9781498797603,Portland,United States,178.0,254.0,43.18,1406.0
Data Science and Machine Learning : Mathematical and Statistical Methods,"Dirk P. Kroese, Zdravko Botev, Thomas Taimre, Radislav Vaisman",2885.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1384/9781138492530.jpg,,510.0,Hardback,2019-11-22,Taylor & Francis,English,1138492531,9781138492530,London,United Kingdom,216.0,279.0,31.75,966.0
Foundations of Machine Learning,"Mehryar Mohri, Afshin Rostamizadeh, Ameet Talwalkar",2294.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262039406.jpg,4.14,504.0,Hardback,2018-12-25,MIT Press Ltd,English,0262039400,9780262039406,Cambridge,United States,178.0,229.0,32.0,1270.06
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",Matt Taddy,977.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2604/9781260452778.jpg,4.29,352.0,Hardback,2019-08-21,McGraw-Hill Education,English,1260452778,9781260452778,OH,United States,193.0,244.0,31.0,733.0
Machine Learning Engineering,Andriy Burkov,1590.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7770/9781777005467.jpg,4.2,310.0,Hardback,2020-09-08,True Positive Inc.,English,1777005469,9781777005467,,,191.0,235.0,25.0,934.0
Fundamentals of Machine Learning for Predictive Data Analytics,John D. Kelleher,2378.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262044691.jpg,4.39,856.0,Hardback,2020-10-20,MIT Press Ltd,English,0262044692,9780262044691,,,178.0,229.0,38.1,1723.65
Statistical Learning with Sparsity : The Lasso and Generalizations,"Trevor Hastie, Robert Tibshirani, Martin Wainwright",3221.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498712163.jpg,4.08,367.0,Hardback,2015-08-21,Taylor & Francis,English,1498712169,9781498712163,Portland,United States,156.0,235.0,22.86,816.0
Big Data and Machine Learning in Quantitative Investment,Tony Guida,1449.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1195/9781119522195.jpg,4.45,296.0,Hardback,2019-04-02,Wiley,English,1119522196,9781119522195,New York,United States,170.0,250.0,22.0,660.0
Probabilistic Graphical Models : Principles and Techniques,"Daphne Koller, Nir Friedman",3586.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2620/9780262013192.jpg,4.18,1270.0,Hardback,2011-08-08,MIT Press Ltd,English,0262013193,9780262013192,Cambridge,United States,203.0,229.0,49.0,2132.0
Statistical Reinforcement Learning : Modern Machine Learning Approaches,Masashi Sugiyama,2911.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4398/9781439856895.jpg,3.4,206.0,Hardback,2015-06-05,Taylor & Francis,English,1439856893,9781439856895,Washington,United States,156.0,235.0,17.78,431.0
"Machine Learning Refined : Foundations, Algorithms, and Applications","Jeremy Watt, Reza Borhani, Aggelos K. Katsaggelos",2153.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108480727.jpg,4.27,594.0,Hardback,2020-03-31,CAMBRIDGE UNIVERSITY PRESS,English,1108480721,9781108480727,Cambridge,United Kingdom,183.0,255.0,29.0,1360.0
How We Learn : Why Brains Learn Better Than Any Machine . . . for Now,Stanislas Dehaene,628.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5255/9780525559887.jpg,4.38,352.0,Hardback,2020-01-28,VIKING,English,0525559884,9780525559887,,,155.0,229.0,33.0,558.0
Machine Learning : A Bayesian and Optimization Perspective,Sergios Theodoridis,2458.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1281/9780128188033.jpg,,1160.0,Hardback,2020-07-17,Elsevier Science Publishing Co Inc,English,0128188030,9780128188033,San Diego,United States,191.0,235.0,57.15,2350.0
Machine Learning for Text,Charu C. Aggarwal,1690.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3197/9783319735306.jpg,4.2,493.0,Hardback,2018-04-03,Springer,English,3319735306,9783319735306,Cham,Switzerland,178.0,254.0,28.7,1111.3
A First Course in Machine Learning,"Simon Rogers, Mark Girolami",2258.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498738484.jpg,3.95,397.0,Hardback,2016-08-15,Taylor & Francis,English,1498738486,9781498738484,Portland,United States,156.0,235.0,27.94,794.0
Mathematics for Machine Learning,"Marc Peter Deisenroth, A. Aldo Faisal, Cheng Soon Ong",2912.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108470049.jpg,4.35,398.0,Hardback,2020-08-27,CAMBRIDGE UNIVERSITY PRESS,English,1108470041,9781108470049,Cambridge,United Kingdom,180.0,259.0,19.0,950.0
"Data-Driven Science and Engineering : Machine Learning, Dynamical Systems, and Control","Steven L. Brunton, J. Nathan Kutz",1914.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1084/9781108422093.jpg,4.91,492.0,Hardback,2020-02-21,CAMBRIDGE UNIVERSITY PRESS,English,1108422098,9781108422093,Cambridge,United Kingdom,184.0,261.0,24.0,1170.0
Introduction to Natural Language Processing,Jacob Eisenstein,2231.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2620/9780262042840.jpg,4.12,536.0,Hardback,2019-10-01,MIT Press Ltd,English,0262042843,9780262042840,Cambridge,United States,178.0,229.0,29.0,979.76
Statistical Machine Learning : A Unified Framework,Richard Golden,3192.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1384/9781138484696.jpg,,506.0,Hardback,2020-07-14,Taylor & Francis,English,1138484695,9781138484696,London,United Kingdom,178.0,254.0,25.4,1438.0
